Batch #	Dataset	Classification	Algorithm	Homogeneity	Completeness	V-Measure	ARI	AMI
1	scope	SF	MMseqs	0.999989987	0.7750030634	0.8732375635	0.3081382414	0.7895058836
1	scope	SF	Complet+	0.9997085223	0.8180021202	0.8997732331	0.6893638432	0.8404796246
1	scope	FA	MMseqs	0.9525391496	0.8684186586	0.9085359	0.4567501944	0.8206486629
1	scope	FA	Complet+	0.9405123263	0.9052823864	0.9225611465	0.5596730458	0.8561254395
2	scope	SF	MMseqs	0.9999399242	0.7621962106	0.8650301257	0.2585860586	0.7989615688
2	scope	SF	Complet+	0.9997194188	0.8130584835	0.8967787543	0.6792727763	0.8524486268
2	scope	FA	MMseqs	0.9490038342	0.8532553135	0.8985861607	0.3860030718	0.8253687989
2	scope	FA	Complet+	0.9384339176	0.9002549361	0.918948048	0.5418678385	0.8676858977
3	scope	SF	MMseqs	0.9999260558	0.757335594	0.8618859844	0.254416454	0.804946143
3	scope	SF	Complet+	0.999699939	0.8109740479	0.8955015779	0.6779941116	0.8580978801
3	scope	FA	MMseqs	0.9480933747	0.8475058361	0.8949822025	0.3726622035	0.8305441281
3	scope	FA	Complet+	0.9377170165	0.8978012183	0.9173251062	0.5368430163	0.8732793201
4	scope	SF	MMseqs	0.9999011784	0.7553676989	0.8606009735	0.2559861333	0.8101642509
4	scope	SF	Complet+	0.9996715264	0.8103723886	0.8951232574	0.6763558108	0.8623598151
4	scope	FA	MMseqs	0.9477876577	0.845160098	0.8935366991	0.3683220115	0.835826113
4	scope	FA	Complet+	0.9372625972	0.8968404864	0.9166061069	0.5339826491	0.8775367348
5	scope	SF	MMseqs	0.9999019384	0.7542615295	0.8598828777	0.256137352	0.8141613096
5	scope	SF	Complet+	0.999669214	0.8099767951	0.8948809459	0.6765408922	0.8653550784
5	scope	FA	MMseqs	0.9476328047	0.8437460035	0.8926770687	0.3654787884	0.8399052033
5	scope	FA	Complet+	0.9371152505	0.8962235673	0.9162133749	0.532975097	0.8806946052
1	scope	SF	MMseqs	0.9999740927	0.7766025199	0.8742458892	0.3268715926	0.7911619091
1	scope	SF	Complet+	0.9997448	0.8198097521	0.9008804223	0.6916737684	0.8423323551
1	scope	FA	MMseqs	0.9513233829	0.8696938143	0.9086790205	0.4759843228	0.8208538353
1	scope	FA	Complet+	0.9397752265	0.9071436844	0.9231711868	0.5625882215	0.8572857907
2	scope	SF	MMseqs	0.9999701754	0.7645774112	0.8665729548	0.2821530024	0.800809359
2	scope	SF	Complet+	0.9997566668	0.8179557425	0.899764674	0.75846537	0.856498681
2	scope	FA	MMseqs	0.9483160848	0.8550536571	0.8992733077	0.4193802411	0.8261664708
2	scope	FA	Complet+	0.9374564876	0.904466429	0.9206660214	0.560341907	0.870332678
3	scope	SF	MMseqs	0.9999748042	0.759464775	0.8632812956	0.2769345457	0.8068195339
3	scope	SF	Complet+	0.9997566772	0.8164203601	0.898834959	0.7559607067	0.8626871106
3	scope	FA	MMseqs	0.9477960479	0.849141434	0.8957605964	0.4064752351	0.8318791745
3	scope	FA	Complet+	0.93690336	0.9025283883	0.9193946775	0.5570298823	0.8766693847
4	scope	SF	MMseqs	0.9999706096	0.7572860851	0.8618704717	0.2789574658	0.8117374011
4	scope	SF	Complet+	0.9997582154	0.816528677	0.8989012214	0.7688548608	0.8673551534
4	scope	FA	MMseqs	0.9476355423	0.8467633516	0.8943641802	0.4044537303	0.8370668118
4	scope	FA	Complet+	0.9365392467	0.9025066551	0.9192080546	0.5594444891	0.8815168274
5	scope	SF	MMseqs	0.9999722044	0.7559983512	0.8610364626	0.2808262557	0.815675257
5	scope	SF	Complet+	0.9997640427	0.8160522066	0.8986147728	0.7693849132	0.8702502824
